type,title,director,cast,date_added,release_year,rating
TV Show,BREAK IT ALL: The History of Rock in Latin America,Picky Talarico,,2020-12-16,2020,TV-MA
Movie,Break Ke Baad,Danish Aslam,"Imran Khan, Deepika Padukone, Shahana Goswami, Lillete Dubey, Sharmila Tagore, Navin Nischol, Parzan Dastur, Neelu Kohli, Ziyah Vastani, Yudhishtir Urs, Grady McGahan",2020-11-19,2010,TV-14
Movie,Break Up 100,Lawrence Cheng,"Ekin Cheng, Chrissie Chow, Ivana Wong, Jase Ho, Alex Lam, Wen Xin, Miriam Chin Wah Yeung, Eric Kot, Kar Lok Chin",2018-12-01,2014,TV-14
TV Show,Breakfast Lunch & Dinner,,"David Chang, Seth Rogen, Chrissy Teigen, Lena Waithe, Kate McKinnon",2019-10-23,2019,TV-MA
TV Show,3Below: Tales of Arcadia,,"Tatiana Maslany, Diego Luna, Nick Offerman, Nick Frost, Glenn Close, Alon Aboutboul, Hayley Atwell, Darin De Paul, Andy Garcia, Cheryl Hines, Tom Kenny, Chris Obi, Cole Sand, Frank Welker, Steven Yeun",2019-07-12,2019,TV-Y7
TV Show,Breaking Bad,,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito",2013-08-02,2013,TV-MA
Movie,Breaking Free,Sridhar Rangayan,Sridhar Rangayan,2017-12-15,2015,TV-MA
Movie,Breaking the Bank,Vadim Jean,"Kelsey Grammer, Tamsin Greig, John Michael Higgins, Mathew Horne, Pearce Quigley, Togo Igawa, Sonya Cassidy, Julie Dray, Danny Morgan, Andrew Sachs",2020-01-01,2014,TV-PG
TV Show,Breakout,,"Jeanette Aw, Elvin Ng, Zhou Ying, Christopher Lee, Dai Xiangyu, Guo Liang",2017-07-01,2010,TV-14
Movie,Breath,Simon Baker,"Samson Coulter, Ben Spence, Simon Baker, Elizabeth Debicki, Richard Roxburgh, Rachael Blake, Jacek Koman",2018-12-05,2018,TV-MA
Movie,Brené Brown: The Call to Courage,Sandra Restrepo,Brené Brown,2019-04-19,2019,TV-14
TV Show,Brews Brothers,,"Alan Aisenberg, Mike Castle, Carmen Flood, Marques Ray",2020-04-10,2020,TV-MA
Movie,Brian Regan: Nunchucks and Flamethrowers,Troy Miller,Brian Regan,2017-11-21,2017,TV-PG
Movie,Brick,Rian Johnson,"Joseph Gordon-Levitt, Nora Zehetner, Lukas Haas, Noah Fleiss, Matt O'Leary, Emilie de Ravin, Noah Segan, Richard Roundtree, Meagan Good, Brian White",2018-09-01,2005,R
Movie,Bride For Rent,Mae Czarina Cruz,"Kim Chiu, Xian Lim, Empoy Marquez, Martin del Rosario, Pilita Corrales, Tirso Cruz III, Dennis Padilla, Matt Evans, Lloyd Zaragoza, Zeppi Borromeo",2019-02-27,2014,TV-PG
Movie,1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",2017-10-20,2017,TV-MA
Movie,40 Sticks,Victor Gatonye,"Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi, Xavier Ywaya",2020-11-20,2019,TV-14
Movie,Bridezilla,Andibachtiar Yusuf,"Jessica Mila, Rio Dewanto, Sheila Dara, Rafael Tan, Widyawati, Aimee Saras, Rukman Rosadi, Lucinta Luna",2020-12-24,2019,TV-MA
TV Show,Bridgerton,,"Adjoa Andoh, Julie Andrews, Lorraine Ashbourne, Jonathan Bailey, Ruby Barker, Sabrina Bartlett, Harriet Cains, Bessie Carter, Nicola Coughlan, Phoebe Dynevor, Ruth Gemmell, Florence Hunt, Claudia Jessie, Ben Miller, Luke Newton, Regé-Jean Page, Golda Rosheuvel, Luke Thompson, Will Tilston, Polly Walker",2020-12-25,2020,TV-MA
