type,title,director,cast,date_added,release_year,rating
Movie,Bucket List,Tejas Prabha Vijay Deoskar,"Madhuri Dixit, Sumeet Raghvan, Renuka Shahane, Milind Pathak, Vandana Gupte, Pradeep Velankar, Shubha Khote, Resham Tipnis",2018-11-05,2018,TV-14
Movie,Budapest,Xavier Gens,"Manu Payet, Jonathan Cohen, Monsieur Poulpe, Alice Belaïdi, Alix Poisson",2019-03-01,2018,TV-MA
TV Show,Buddha,,"Himanshu Soni, Kajal Jain, Sanket Choukse, Kabir Bedi, Sameer Dharmadhikari, Jagat Singh, Reshmi Ghosh, Siddharth Vasudev, Amit Behl, Hemant Choudhary",2018-04-01,2013,TV-PG
TV Show,Buddi,,"Greta Jameson, Ralf Jameson, Clementine Laikin, Felix Laikin",2020-09-11,2020,TV-Y
Movie,Buddies,Marcelo Galvão,"Ariel Goldenberg, Rita Pokk, Breno Viola, Lima Duarte, Marco Luque, Daniel Torres, Monaliza Marchi, Amélia Bittencourt, Giulia de Souza Merigo, Deto Montenegro, Rui Unas",2019-02-15,2012,TV-MA
TV Show,Buddy Thunderstruck,,"Brian Atkinson, Ted Raimi, Harry Chaskin, Justin Michael, Debi Derryberry, Philip Maurice Hayes, Leigh Kelly, J.D. Ryznar, Nick Shakoour, Ryan Wiesbrock, Clark Wiesbrock",2017-03-10,2017,TV-Y7
Movie,Buddy Thunderstruck: The Maybe Pile,Harry Chaskin,"Brian Atkinson, Ted Raimi, Harry Chaskin, Debi Derryberry, Philip Maurice Hayes, Leigh Kelly, J.D. Ryznar, Nick Shakoour, Ryan Wiesbrock, Clark Wiesbrock",2017-07-14,2017,TV-Y7
TV Show,45 rpm,,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde, Eudald Font, Luis Larrodera, Carmen Gutiérrez, Diana Gómez, Vito Sanz, Marina San José, Pere Ponce, Joan Pera",2019-08-16,2019,TV-MA
Movie,Budhia Singh: Born to Run,Soumendra Padhi,"Manoj Bajpayee, Mayur Mahendra Patole, Tillotama Shome, Shruti Marathe, Chhaya Kadam, Gajraj Rao",2020-07-05,2016,TV-MA
Movie,Buffalo Boys,Mike Wiluan,"Yoshua Sudarso, Ario Bayu, Pevita Pearce, Tio Pakusadewo, Reinout Bussemaker, Mikha Tambayong, Happy Salma, Alex Abbad, Zack Lee",2019-04-12,2018,TV-MA
Movie,Bugs,Andreas Johnsen,,2018-02-20,2016,TV-G
Movie,Bulbbul,Anvita Dutt,"Tripti Dimri, Avinash Tiwary, Rahul Bose, Parambrata Chatterjee, Paoli Dam, Veera Kapur Ee",2020-06-24,2020,TV-MA
Movie,Bulbul Can Sing,Rima Das,"Arnali Das, Manoranjan Das, Banita Thakuriya, Manabendra Das, Deepjyoti Kalita, Pakija Begum",2020-01-15,2018,TV-14
Movie,Bullet Head,Paul Solet Rick Benattar,"Adrien Brody, John Malkovich, Rory Culkin, Antonio Banderas, Ori Pfeffer, Alexandra Dinu, Owen Davis, Deyan Petrov",2018-03-07,2017,R
Movie,Bulletproof 2,Don Michael Paul,"Faizon Love, Kirk Fox, Tony Todd, Pearl Thusi, Cassie Clare, Fiona Ramsey, Neels Clasen, Roxy Nel",2020-01-09,2020,TV-MA
Movie,Bullitt County,David McCracken,"Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Dorothy Lyman, Richard Riehle",2019-06-01,2018,TV-MA
Movie,Bully,Lee Hirsch,,2020-09-29,2012,PG-13
TV Show,Bumping Mics with Jeff Ross & Dave Attell,,"Jeff Ross, Dave Attell",2018-11-27,2018,TV-MA
Movie,48 Christmas Wishes,Marco Deufemia Justin G. Dyck,"Khiyla Aynne, Noah Dyer, Maya Franzoi, Clara Kushnir, Madeline Leon, Liam MacDonald, Matt Schichter, Ethan Yang, Adam Crew",2017-12-20,2017,TV-G
TV Show,Bunk'd,,"Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu",2020-08-24,2020,TV-G
TV Show,Bure Kaam Bura Natija Kyun Bhai Chacha Haan Bhatija,,,2018-03-31,2017,TV-PG
Movie,Burlesque,Steve Antin,"Cher, Christina Aguilera, Alan Cumming, Eric Dane, Cam Gigandet, Julianne Hough, Peter Gallagher, Kristen Bell, Stanley Tucci, Dianna Agron",2019-12-16,2010,PG-13
Movie,Burlesque: Heart of the Glitter Tribe,Jon Manning,,2017-06-01,2017,TV-MA
Movie,Burn Out,Yann Gozlan,"Olivier Rabourdin, François Civil, Manon Azem, Samuel Jouy, Narcisse Mame, Naël Rabia, Sam Louwyck, Luc Schwarz, Mario Magalhaes, Marc-Antoine Duquenne",2019-03-15,2017,TV-MA
TV Show,Burned Cocoon,,"Yavuz Bingöl, Basak Köklükaya, Çolpan Ilhan, Mustafa Alabora, Sedef Avcı, Ayça İnci, Tuncer Necmioğlu, Serdar Özer",2017-04-01,2005,TV-MA
Movie,Burning,Lee Chang-dong,"Yoo Ah-in, Steven Yeun, Jun Jong-seo, Kim Soo-kyung, Moon Sung-keun, ChoI Seung-ho",2019-04-29,2018,TV-MA
Movie,Burning Cane,Phillip Youmans,"Wendell Pierce, Karen Kaia Livers, Dominique McClellan, Braelyn Kelly, Emyri Crutchfield, Cynthia Capers, Erika Woods",2019-11-06,2019,TV-MA
Movie,Burning Sands,Gerard McMurray,"Trevor Jackson, Alfre Woodard, Trevante Rhodes, Steve Harris, DeRon Horton, Rotimi, Serayah, Tosin Cole, Malik Bazille, Octavius J. Johnson, Davyon St. Usaire, Mitchell Edwards, Nafessa Williams, Christian Robinson, Imani Hakim, Raquel Bianca John",2017-03-10,2017,TV-MA
TV Show,Burnistoun,,"Iain Connell, Robert Florence, Kirsty Strain, Richard Rankin, Allan Miller, Louise Stewart",2019-01-10,2012,TV-MA
Movie,4L,Gerardo Olivares,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen",2019-07-12,2019,TV-MA
Movie,Bushwick,Cary Murnion Jonathan Milott,"Dave Bautista, Brittany Snow, Angelic Zambrana, Jeremie Harris, Myra Lucretia Taylor, Arturo Castro, Christian Navarro",2017-11-24,2017,TV-MA
TV Show,Busted!,,"Yoo Jae-suk, Ahn Jae-wook, Kim Jong-min, Lee Kwang-soo, Park Min-young, Sehun, Kim Se-jeong",2019-11-08,2019,TV-14
Movie,Buster's Mal Heart,Sarah Adina Smith,"Rami Malek, DJ Qualls, Kate Lyn Sheil, Sukha Belle Potter, Toby Huss, Lin Shaye, Mark Kelly, Bruce Bundy, Teresa Yenque, Sandra Ellis Lafferty, Nicholas Pryor",2017-08-26,2016,TV-MA
Movie,Butterfield 8,Daniel Mann,"Elizabeth Taylor, Laurence Harvey, Eddie Fisher, Dina Merrill, Mildred Dunnock, Betty Field, Jeffrey Lynn, Susan Oliver",2019-11-01,1960,TV-14
Movie,BuyBust,Erik Matti,"Anne Curtis, Brandon Vera, Victor Neri, Arjo Atayde, Levi Ignacio, Alex Calleja, Lao Rodriguez, Joross Gamboa, Ricky Pascua, Nonie Buencamino",2018-11-13,2018,TV-MA
Movie,Bwakaw,Jun Lana,"Eddie Garcia, Princess, Rez Cortez, Bibeth Orteza, Joey Paras, Allan Paule, Beverly Salviejo, Soxy Topacio, Armida Siguion-Reyna, Luz Valdez, Gardo Versoza",2020-12-16,2012,TV-MA
Movie,By the Sea,Angelina Jolie,"Angelina Jolie, Brad Pitt, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer",2020-02-16,2015,R
Movie,Bye Bye London,Almunsif Alsuwaisi,"Abdulhussain Abdulredah, Ghanem Al-Saleh, Mariam Al-Ghadban, Dawood Hussain, Entesar Alsharah, Mohamed Gaber",2020-05-21,1981,TV-14
Movie,Bygones Be Bygones,Hakan Algül,"Ata Demirer, Tuvana Türkay, Ülkü Duru, Salih Kalyon, Renan Bilek, Seda Güven, Toprak Sergen, Ali Yoğurtçuoğlu, Bedir Bedir, Gümeç Alpay Aslan",2019-10-11,2017,TV-MA
Movie,Bypass Road,Naman Nitin Mukesh,"Neil Nitin Mukesh, Adah Sharma, Rajit Kapoor, Gul Panag, Shama Sikander, Manish Chaudhary, Sudhanshu Pandey, Taher Shabbir",2020-03-15,2019,TV-14
Movie,4th Man Out,Andrew Nackman,"Evan Todd, Parker Young, Chord Overstreet, Jon Gabrus, Kate Flannery, Brooke Dillman, Jennifer Damiano, Jordan Lane Price, Alex Rennie, Jake Epstein",2016-05-05,2015,NR
Movie,C Kkompany,Sachin Yardi,"Mahesh Bhatt, Mithun Chakraborty, G.K. Desai, Celina Jaitly, Karan Johar, Ekta Kapoor, Tusshar Kapoor, Anupam Kher, Ashok Pandit, Lalit Parashar, Raima Sen, Rajpal Yadav",2019-05-31,2008,TV-14
Movie,Cézanne et moi,Daniele Thompson,"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker",2017-09-07,2016,R
Movie,Cabin Fever,Travis Zariwny,"Gage Golightly, Matthew Daddario, Samuel Davis, Nadine Crocker, Dustin Ingram, Randy Schulman",2019-06-06,2016,R
TV Show,Cabins in the Wild with Dick Strawbridge,,"Dick Strawbridge, William Hardie",2018-09-15,2017,TV-PG
TV Show,Cable Girls,,"Blanca Suárez, Nadia de Santiago, Ana Fernández, Maggie Civantos, Ana Polvorosa, Yon González, Martiño Rivas, Nico Romero, Borja Luna, Sergio Mur, Concha Velasco, Antonio Velázquez, Ernesto Alterio, Ira del Río, Angela Cremonte, Andrea Carballo",2020-07-03,2019,TV-MA
Movie,Cadaver,Jarand Herdal,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman, Trine Wiggen, Maria Grazia Di Meo, Kingsford Siayor, Jonatan Rodriguez",2020-10-22,2020,TV-MA
TV Show,Cagaster of an Insect Cage,,"Yoshimasa Hosoya, Kana Hanazawa, Natsuki Hanae, Takahiro Sakurai, Daisuke Namikawa, Toshiyuki Morikawa, Kazuyuki Okitsu, Junichi Suwabe, Tomohiro Shiozaki, Ai Kayano, Tetsu Shiratori, Yasuhiro Mamiya, Daiki Yamashita, Akari Kito, Tomokazu Sugita, Aoi Yuki, Kohsuke Toriumi",2020-02-06,2020,TV-MA
Movie,Cahaya Dari Timur Beta Maluku,Angga Dwimas Sasongko,"Chicco Jerikho, Abdurrahman Arif, Jajang C. Noer, Ridho Hafiedz, Leo Maitimu, Shafira Umm, Glenn Fredly, Aufa Assagaf, Burhanuddin Ohorella, Bebeto Leutually",2018-10-05,2014,TV-14
Movie,Caida del Cielo,Néstor Sánchez Sotelo,"Muriel Santa Ana, Peto Menahem, Héctor Díaz, Sebastián Wainraich, Karina K., Hernán Jiménez, Fabián Forte, Verónica Intile",2017-01-20,2016,TV-MA
TV Show,Cain and Abel,,"So Ji-sub, Shin Hyun-joon, Chae Jung-an, Han Ji-min, Kim Hae-suk, You-Mi Ha, Yong Jang, Kwon Hae-hyo",2019-03-12,2009,TV-MA
Movie,4th Republic,Ishaya Bako,"Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani Mu’azu, Emil Hirai-Garuba, Rekiya Ibrahim Atta",2020-06-13,2019,TV-MA
Movie,Cairo Station,Youssef Chahine,"Farid Shawqy, Hind Rostom, Youssef Chahine, Hassan el Baroudi, Abdel Aziz Khalil, Naima Wasfy, Said Khalil, Abdel Ghani Nagdi",2020-06-18,1958,TV-14
Movie,Cake,Asim Abbasi,"Aamina Sheikh, Sanam Saeed, Adnan Malik, Mohammad Ahmad, Beo Rana Zafar, Faris Khalid, Hira Hussain, Mikaal Zulfiqar",2019-05-15,2018,TV-MA
Movie,Calendar Girls,Madhur Bhandarkar,"Akanksha Puri, Avani Modi, Kyra Dutt, Ruhi Singh, Satarupa Pyne, Mita Vashisht, Keith Sequeira, Deepak Wadhwa, Indraneil Sengupta, Vikram Sakhalkar",2017-10-15,2015,TV-14
Movie,Calibre,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran, Ian Pirie, Cameron Jack",2018-06-29,2018,TV-MA
TV Show,Calico Critters,,"Georgie Fuller, Jessica Hinds-Mingo, Mayumi Kawai, Sarah Sumeray, Alix Macey, Jenna Sharpe",2018-11-01,2018,TV-Y
TV Show,Calico Critters Mini Episodes Clover,,"Stephanie Sheh, Erika Harlacher, Julie Maddalena, Dorothy Fahn, Anne Yatco, Cherami Leigh, Doug Erholtz, Keith Silverstein",2020-03-01,2020,TV-Y
Movie,Calico Critters: A Town of Dreams,Momoko Kamiya,,2018-11-01,2017,TV-Y
Movie,Calico Critters: Everyone's Big Dream Flying in the Sky,Momoko Kamiya,Erika Harlacher,2020-03-01,2019,TV-Y
Movie,Calico Critters: The Treasure of Calico Village,Momoko Kamiya,,2018-11-01,2017,TV-Y
TV Show,Caliphate,,"Aliette Opheim, Gizem Erdogan, Amed Bozan, Albin Grenholm, Nora Rios, Yussra El Abdouni, Amanda Sohrabi, Lancelot Ncube, Simon Mezher, Ala Riani",2020-03-18,2020,TV-MA
Movie,5 Cowok Jagoan,Anggy Umbara,"Ario Bayu, Arifin Putra, Dwi Sasono, Muhadkly Acho, Cornelio Sunny, Tika Bravani, Nirina Zubir, Ganindra Bimo, Verdi Solaiman",2019-01-05,2017,TV-MA
TV Show,Call Me Francis,,"Rodrigo de la Serna, Sergio Hernández, Mercedes Morán, Muriel Santa Ana, Alex Brendemühl, Maximilian Dirr, Andres Gil, Marco Di Tieri",2016-12-16,2016,TV-14
TV Show,Call My Agent!,,"Camille Cottin, Thibault De Montalembert, Grégory Montel, Liliane Rovère, Fanny Sidney, Laure Calamy, Nicolas Maury, Stéfi Celma, Assaad Bouab, Isabelle Adjani, Juliette Binoche, Virginie Efira, Christopher Lambert",2019-01-04,2018,TV-MA
TV Show,Call the Midwife,Philippa Lowthorpe,"Vanessa Redgrave, Bryony Hannah, Helen George, Jenny Agutter, Pam Ferris, Laura Main, Judy Parfitt, Cliff Parisi, Stephen McGann, Ben Caplan, Miranda Hart, Jessica Raine, Max Macmillan, Victoria Yeates, Jack Ashton, Emerald Fennell, Linda Bassett",2020-09-15,2020,TV-MA
Movie,Calum von Moger: Unbroken,Vlad Yudin,Calum Von Moger,2019-08-13,2019,TV-MA
Movie,Cam,Daniel Goldhaber,"Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid, Imani Hakim, Michael Dempsey, Flora Diaz, Samantha Robinson, Jessica Parker Kennedy, Quei Tann",2018-11-16,2018,TV-MA
TV Show,Camarón Revolution,,"Camarón de la Isla, Juan Diego",2018-07-18,2018,TV-14
Movie,Camarón: The Film,Alexis Morante,Juan Diego,2018-07-18,2018,TV-14
TV Show,Camelia la Texana,Carlos Bolado,"Sara Maldonado, Erik Hayser, Andrés Palacios, Dagoberto Gama, Luis Ernesto Franco, Arcelia Ramírez, Eréndira Ibarra",2017-02-01,2014,TV-14
Movie,Camera Store,Scott Marshall Smith,"John Larroquette, John Rhys-Davies, Paul Ben-Victor, David James Elliott, Laura Silverman, Cheryl Ladd, Justin Lieberman, Maddie McCormick",2017-08-20,2016,TV-MA
Movie,Camp Cool Kids,Lisa Arnold,"Connor Rosen, Logan Shroyer, Michael Gross, Markie Post, Leigh-Allyn Baker, Juliocesar Chavez, Tyree Brown",2018-01-01,2017,TV-G
Movie,5 Flights Up,Richard Loncraine,"Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer",2019-03-17,2014,PG-13
TV Show,Camp X,,,2019-02-01,2014,TV-MA
Movie,Camp X-Ray,Peter Sattler,"Kristen Stewart, Peyman Moaadi, John Carroll Lynch, Lane Garrison, Joseph Julian Soria, Ser'Darius Blain, Cory Michael Smith, Julia Duffy",2017-01-14,2014,R
TV Show,Can We Get Married?,,"Sung Jun, So-min Jung, Sung-min Kim, Ae-yeon Jeong, Mi-sook Lee, Eun-sook Sunwoo, Seok-woo Kang, Young-kwang Kim, Han Groo, Jin-soo Kim",2017-05-22,2012,TV-14
TV Show,Can You Hear Me?,,"Mélissa Bédard, Ève Landry, Florence Longpré",2020-11-02,2020,TV-MA
TV Show,Can't Cope Won't Cope,,"Seána Kerslake, Nika McGuigan, Sheila Moylette, Muiris Crowley, Steve Blount, Amy Huberman, Laurence O'Fuarain, Seán Óg Cairns, Hannah Sheehan, Peter Campion",2020-05-28,2018,TV-MA
Movie,Can't Hardly Wait,Harry Elfont Deborah Kaplan,"Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo, Lauren Ambrose, Peter Facinelli, Seth Green, Michelle Brookhurst, Alexander Martin, Erik Palladino, Channon Roe, Sean Patrick Thomas",2021-01-01,1998,PG-13
Movie,Can't Help Falling in Love,Mae Czarina Cruz,"Kathryn Bernardo, Daniel Padilla, Matteo Guidicelli, Zanjoe Marudo, Cherry Pie Picache, Lotlot De Leon, Dennis Padilla, Lito Pimentel, Joross Gamboa, Janus del Prado",2019-02-27,2017,TV-14
Movie,Can’t Complain,Ahmed Nader Galal,"Ahmed Helmy, Menna Shalaby, Khaled El Sawy, Lotfy Labib",2020-06-03,2007,TV-MA
Movie,Candy Jar,Ben Shelton,"Christina Hendricks, Helen Hunt, Uzo Aduba, Sami Gayle, Jacob Latimore",2018-04-27,2018,TV-14
TV Show,Candy Online,,"Ruby Zhan, Suun Lin, Sunnie Wang, Dean Tang, Lain Lu, Cheng Ko, Jacqueline Zhu, Chen Wen-shan, Ada Pan",2019-11-17,2019,TV-MA
TV Show,1983,,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach",2018-11-30,2018,TV-MA
Movie,5 Star Christmas,Marco Risi,"Massimo Ghini, Ricky Memphis, Martina Stella, Ralph Palka, Biagio Izzo, Riccardo Rossi, Paola Minaccioni",2018-12-07,2018,TV-14
Movie,Candyflip,Shanawaz Nellikunnil,"Prashant Prakash, Kalki Koechlin, Prakash Raj, Gulshan Devaiah, Valeriya Polyanychko",2019-02-15,2017,TV-MA
Movie,Candyman,Bernard Rose,"Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis",2019-10-01,1992,R
TV Show,Cannabis,,"Jean-Michel Correia, Yasin Houicha, Pedro Casablanc, Christophe Paou, Kate Moran, Santi Pons",2016-12-15,2016,TV-MA
TV Show,Cannon Busters,,"Yoshitsugu Matsuoka, Hinaki Yano, Shiori Izawa, Junji Majima, Yosuke Akimoto, Nobuyuki Hiyama, Takaya Kuroda, Katsuhisa Houki, Taro Yamaguchi, Junko Minagawa, Tomomi Maruyama",2019-08-15,2019,TV-MA
Movie,Canvas,Frank E. Abney III,,2020-12-11,2020,G
Movie,Capital in the Twenty-First Century,Justin Pemberton,,2020-09-08,2019,TV-14
Movie,Cappuccino,Noushad,"Dharmajan Bolgatty, Aneesh Menon, Sunil Sukhada, Anita Lukmance, Kottayam Pradeep, Natasha Doshi, Hareesh Perumanna, Sharanya, Vineeth Mohan, Sudhi Koppa",2018-07-01,2017,TV-PG
Movie,Captain Underpants Epic Choice-o-Rama,,"Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Jorge Diaz, Todd Grimes, Peter Hastings, Evan Kishiyama, David Koechner, Phil LaMarr, Erica Luttrell, Patty Mattson, Brennan Murray, Nolan North",2020-02-11,2020,TV-Y7
Movie,Captain Underpants Mega Blissmas,Erik Kling Kevin Peaty,"Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Jim Cummings, Jorge Diaz",2020-12-04,2020,TV-Y7
TV Show,Captive,,,2016-12-09,2016,TV-MA
Movie,5 to 7,Victor Levin,"Anton Yelchin, Bérénice Marlohe, Olivia Thirlby, Lambert Wilson, Frank Langella, Glenn Close",2017-03-16,2014,R
TV Show,Car Masters: Rust to Riches,,"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle",2020-03-27,2020,TV-PG
Movie,Carbon,Olivier Marchal,"Benoît Magimel, Gringe, Idir Chender, Laura Smet, Michaël Youn, Dani, Patrick Catalifo, Gérard Depardieu",2018-09-01,2017,TV-MA
Movie,Cardboard Gangsters,Mark O'Connor,"John Connors, Fionn Walton, Kierston Wareing, Paul Alwright, Ryan Lincoln, Jimmy Smallhorne, Toni O'Rourke, Fionna Hewitt-Twamley, Stephen Clinch, Ciaran McCabe",2018-09-15,2016,TV-MA
TV Show,Cardcaptor Sakura,,"Miwa Matsumoto, Motoko Kumai, Nozomu Sasaki, Hideyuki Tanaka, Junko Iwao, Emi Motoi, Yukana, Aya Hisakawa, Katsuyuki Konishi, Emi Shinohara, Sakura Tange, Ryoka Yuzuki, Minako Kotobuki, Yumi Toma, Natsuki Hanae, Issei Miyazaki, Tomokazu Seki, Kazuo Hayashi, Masaya Onosaka, Minori Suzuki, Megumi Ogata",2020-06-01,1999,TV-Y7
TV Show,Care Bears & Cousins,,"Michael Sinterniklaas, Michaela Dean, Doug Erholtz, Braeden Fox, Olivia Hack, David Lodge, Nayo Wallace, Ryan Wiesbrock",2016-02-05,2016,TV-Y
TV Show,Care Bears: Welcome to Care-a-Lot,,"David Lodge, Patty Mattson, Doug Erholtz, Stephanie Sheh, Nayo Wallace, Michael Sinterniklaas, Michaela Dean",2019-08-02,2012,TV-Y
Movie,Care of Kancharapalem,Maha Venkatesh,"Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri",2019-09-06,2018,TV-14
Movie,Caregiver,Chito S. Roño,"Sharon Cuneta, John Estrada, John Manalo, Rica Peralejo, Jhong Hilario, Saul Reichlin, Matthew Rutherford, Claire Jeater, Makisig Morales, Mickey Ferriols",2019-03-05,2008,TV-14
Movie,Cargo,Arati Kadav,"Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma, Biswapati Sarkar, Ritwik Bhaumik, Prabal Panjabi, Hansal Mehta",2020-09-09,2020,TV-14
Movie,Carlos Almaraz: Playing with Fire,Elsa Flores Almaraz Richard J Montoya,"Edward James Olmos, Zach De La Rocha",2020-10-01,2019,TV-14
Movie,50 First Dates,Peter Segal,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph",2020-12-01,2004,PG-13
Movie,Carlos Ballarta: El amor es de putos,Jan Suter Raúl Campos Delgado,Carlos Ballarta,2016-11-21,2016,TV-MA
Movie,Carlos Ballarta: Furia Ñera,Raúl Campos Jan Suter,Carlos Ballarta,2018-05-11,2018,TV-MA
TV Show,Carmel: Who Killed Maria Marta?,Alejandro Hartmann,,2020-11-05,2020,TV-14
TV Show,Carmen Sandiego,,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Michael Goldsmith, Kari Wahlgren, Sharon Muthu, Liam O'Brien, Rafael Petardi, Charlet Chung",2021-01-15,2021,TV-Y7
Movie,Carmen Sandiego: To Steal or Not to Steal,Jos Humphrey,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Liam O'Brien, Mary Elizabeth McGlynn, Toks Olagundoye, Sharon Muthu",2020-03-10,2020,TV-Y7
Movie,Carol,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler, Jake Lacy, John Magaro, Cory Michael Smith, Carrie Brownstein, Kevin Crowley, Nik Pajic",2020-10-20,2015,R
TV Show,CAROLE & TUESDAY,,"Miyuri Shimabukuro, Kana Ichinose, Akio Otsuka, Miyu Irino, Sumire Uesaka, Hiroshi Kamiya, Mamoru Miyano, Kenyu Horiuchi, Tomoko Miyadera, Takahiro Sakurai, Maaya Sakamoto, Hiroki Yasumoto",2019-12-24,2019,TV-MA
Movie,Carrie,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North",2019-06-01,1976,R
Movie,Carrie Pilby,Susan Johnson,"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",2017-09-05,2016,TV-MA
Movie,Carriers,Àlex Pastor David Pastor,"Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses",2019-11-20,2009,PG-13
Movie,50/50,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy",2019-06-01,2011,R
Movie,Casa de mi Padre,Matt Piedmont,"Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez",2012-11-14,2012,R
Movie,Casablancas: The Man Who Loved Women,Hubert Woroniecki,,2017-01-13,2016,TV-14
TV Show,Case,,"Steinunn Ólína Þorsteinsdóttir, Magnús Jónsson, Þorsteinn Bachmann, Jóhanna Vigdís Arnardóttir, Birna Rún Eiríksdóttir, Elma Stefania Agustsdottir, Bergur Þór Ingólfsson, Halldóra Geirharðsdóttir, Arnar Jónsson, Davíð Freyr Þórunnarson, Björn Stefánsson, Nína Dögg Filippusdóttir, Hjortur Jóhann Jónsson",2016-11-09,2015,TV-MA
Movie,Case 39,Christian Alvart,"Renée Zellweger, Jodelle Ferland, Ian McShane, Bradley Cooper, Callum Keith Rennie, Adrian Lester, Kerry O'Malley, Cynthia Stevenson, Alexander Conti, Philip Cabrita",2021-01-01,2009,R
TV Show,Case Closed,,"Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard",2019-01-04,2015,TV-14
Movie,Casino Royale,Martin Campbell,"Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini",2020-08-31,2006,PG-13
Movie,Casino Tycoon,Wong Jing,Wong Jing,2018-08-01,1992,TV-MA
Movie,Casino Tycoon 2,Wong Jing,Dennis Chan,2018-08-16,1992,TV-MA
Movie,Casting JonBenet,Kitty Green,,2017-04-28,2017,TV-14
TV Show,Castle and Castle,,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",2020-02-14,2018,TV-MA
Movie,5CM,Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya",2018-09-28,2012,TV-14
TV Show,Castle of Stars,,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",2018-09-07,2015,TV-MA
